Category,Crop,QueryType,QueryText,KccAns,Refer,,,,,,,
Cereals,Rice,Fertilizer Uses,INFORMATION REGARDING/DETAILS ABOUT/TELL ME BETTER/GOOD/FERTILIZER USE S OF  RICE CROP?,"For paddy apply N:P:K@50:12:12 kg/acre in form of Urea @110 kg/acre, SSP@75 kg/acre and MOP@20 kg/acre. Before fertilizer application, carried out soil test and apply fertilizer on the basis of soil test result. Apply P and K dose if soil test show deficiency of it. If DAP is to be used, apply Urea@100 kg/acre, DAP@27 kg/acre and MOP@20 kg/acre. Apply 1/3rd dose of Nitrogen and whole dose of P and K before last puddling.
Apply second dose three week after transplanting and three weeks after 2nd dose, apply remaining dose of Nitrogen. Use neem coated Urea as it will increased uptake of N. Apply Zinc sulphate heptahydrate@25 kg or zinc sulphate monohydrate@16 kg/acre at puddling to overcome zinc deficiency. Due to water scarcity, young leaves give yellow or yellow white appearance about three week after transplanting. Apply irrigation immediately also spray with ferrous sulphate@1 kg/100 ltr water per acre, two-three time with weekly intervals.","[Reference: www.apnikheti.com, Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,
Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]",,,,,,,
Cereals,Rice,Nutrient Management,INFORMATION REGARDING/DETAILS ABOUT/TELL ME NECESSARY NUTRITION OF RICE?,"NITROGEN--30kg/acre, PHOSPHORUS --40kg/acre, POTASH--20 kg/acre
","[Reference: www.apnikheti.com, Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,
Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]
",,,,,,,
Cereals,Rice,Fertilizer Uses,INFORMATION REGARDING/DETAILS ABOUT/TELL ME FERTILIZER REQUIREMENT IN RICE?,"UREA--70kg/acre, SSP--240kg/acre,MURIATE OF POTASH--0 kg/acre
","[Reference: www.apnikheti.com, Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,
Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]
",,,,,,,
Cereals,Rice,Nutrient Management,INFROMATION REGARDING CONTROL OF IRON DEFICIENCY IN RICE?,Give copious irrigations as soon as chlorosis appears and give 2 or 3 sprays of one per cent ferrous sulphate solution at weekly intervals (1 kg of ferrous sulphate in 100 litres of water per acre).,[Reference: PoP (package of practices)],,,,,,,
Cereals,Rice,Nutrient Management,INFROMATION REGARDING CONTROL OF ZINC DEFICIENCY IN RICE?,"Apply 25 kg of zinc sulphate heptahydrate (21percentage ) or 16 kg zinc sulphate monohydrate (33Percetnage ) per acre at puddling. In case, the deficiency is noticed in the growing crop, apply this quantity of zinc sulphate as soon as possible",[Reference: PoP (package of practices)],,,,,,,
Cereals,Rice,Nutrient Management,INFROMATION REGARDING SYMPTOM OF IRON DEFICIENCY IN RICE?,Appears in the youngest leaf about three weeks after transplanting. Leaves become white in colour.,[Reference: PoP (package of practices)],,,,,,,
Cereals,Rice,Nutrient Management,INFROMATION REGARDING SYMPTOM OF ZINC DEFICIENCY IN RICE?,"The symptoms of zinc deficiency appear 2-3 weeks after transplanting.
The lower leaves become rusty brown near the base and ultimately dry up. 
The symptoms of zinc deficiency sometimes appear in patches even after the application of the recommended dose of zinc sulphate.",[Reference: PoP (package of practices)],,,,,,,
Cereals,Rice,Nutrient Management,INFORMATION REGARDING/DETAILS ABOUT/TELL ME THE BETTER GROWTH AND CONTROL NITROGEN DEFICIENCY AFTER APPLYING THE RECOMMENDED AMOUNT OF UREA TO THE PADDY CROP?,Spray 1 kg NPK 19:19:19 in 100 liters of water per acre to meet crop growth and nitrogen deficiency after applying the recommended amount of urea to the paddy crop.,"[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,,
Cereals,Rice,Nutrient Management,INFORMATION REGARDING/DETAILS ABOUT/TELL ME MIXING OF CHEMICALS.?,You should not mix potassium nitrate (NPK-13:0:45) and insecticides or fungicides used to control pests in paddy.,"[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,*best practice,
Cereals,Rice,Nutrient Management,INFORMATION REGARDING/DETAILS ABOUT/TELL ME CONTROL OF RICE EAR CUTTING CATTERPILLER IN PADDY?,Spray 600-800 ml Acalx 25 EC (Quinalfas) dissolved in 100 liters of water per acre for control of paddy stem borer.,"[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,,
Cereals,Rice,Nutrient Management,INFORMATION REGARDING/DETAILS ABOUT/TELL ME THE GROWTH REGULATOR USED FOR INCREASING GRAIN YIELD IN PADDY?,"To reduce blight in paddy, spray 1% potassium nitrate NPK 13:00:45 (1 kg in 100 liters of water) per acre.","[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,,
